Symbol,Name,Sector,comGroupCode
SGT,Công ty Cổ phần Công nghệ Viễn thông Sài Gòn,Công nghệ Thông tin,HOSE
GMH,Công ty Cổ phần Minh Hưng Quảng Trị,Công nghiệp,HOSE
ACC,Công ty Cổ phần Đầu tư và Xây dựng Bình Dương ACC,Công nghiệp,HOSE
ADP,Công ty Cổ phần Sơn Á Đông,Công nghiệp,HOSE
BCE,Công ty Cổ phần Xây dựng và Giao thông Bình Dương,Công nghiệp,HOSE
BMP,Công ty Cổ phần Nhựa Bình Minh,Công nghiệp,HOSE
C32,Công ty Cổ phần CIC39,Công nghiệp,HOSE
C47,Công ty Cổ phần Xây dựng 47,Công nghiệp,HOSE
CDC,Công ty Cổ phần Chương Dương,Công nghiệp,HOSE
CIG,Công ty Cổ phần COMA 18,Công nghiệp,HOSE
CII,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật Thành phố Hồ Chí Minh,Công nghiệp,HOSE
CRC,Công ty Cổ phần Create Capital Việt Nam,Công nghiệp,HOSE
CTD,Công ty Cổ phần Xây dựng Coteccons,Công nghiệp,HOSE
CTI,Công ty Cổ phần Đầu tư Phát triển Cường Thuận IDICO,Công nghiệp,HOSE
CTR,Tổng Công ty Cổ phần Công trình Viettel,Công nghiệp,HOSE
CVT,Công ty Cổ phần CMC,Công nghiệp,HOSE
DPG,Công ty Cổ phần Tập đoàn Đạt Phương,Công nghiệp,HOSE
DC4,Công ty Cổ phần Xây dựng DIC Holdings,Công nghiệp,HOSE
DHA,Công ty Cổ phần Hóa An,Công nghiệp,HOSE
DXV,Công ty Cổ phần VICEM Vật liệu Xây dựng Đà Nẵng,Công nghiệp,HOSE
EVG,Công ty Cổ phần Tập đoàn Everland,Công nghiệp,HOSE
FCM,Công ty Cổ phần Khoáng sản FECON,Công nghiệp,HOSE
FCN,Công ty Cổ phần FECON,Công nghiệp,HOSE
HID,Công ty Cổ phần Halcom Vietnam,Công nghiệp,HOSE
HHV,Công ty Cổ phần Đầu tư Hạ tầng Giao thông Đèo Cả,Công nghiệp,HOSE
HAS,Công ty Cổ phần Hacisco,Công nghiệp,HOSE
HBC,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Công nghiệp,HOSE
HT1,Công ty Cổ phần Xi măng VICEM Hà Tiên,Công nghiệp,HOSE
HTI,Công ty Cổ phần Đầu tư Phát triển Hạ tầng IDICO,Công nghiệp,HOSE
HU1,Công ty Cổ phần Đầu tư và Xây dựng HUD1,Công nghiệp,HOSE
HVH,Công ty Cổ phần Đầu tư và Công nghệ HVC,Công nghiệp,HOSE
HVX,Công ty Cổ phần Xi măng Vicem Hải Vân,Công nghiệp,HOSE
KPF,Công ty Cổ phần Đầu tư Tài sản KOJI,Công nghiệp,HOSE
LBM,Công ty Cổ phần Khoáng sản và Vật liệu xây dựng Lâm Đồng,Công nghiệp,HOSE
LCG,Công ty Cổ phần Lizen,Công nghiệp,HOSE
LGC,Công ty Cổ phần Đầu tư Cầu đường CII,Công nghiệp,HOSE
LM8,Công ty Cổ phần Lilama 18,Công nghiệp,HOSE
MDG,Công ty Cổ phần Miền Đông,Công nghiệp,HOSE
NAV,Công ty Cổ phần Nam Việt,Công nghiệp,HOSE
NHA,Tổng Công ty Đầu tư Phát triển Nhà và Đô thị Nam Hà Nội,Công nghiệp,HOSE
NNC,Công ty Cổ phần Đá Núi Nhỏ,Công nghiệp,HOSE
PC1,Công ty Cổ phần Tập đoàn PC1,Công nghiệp,HOSE
PHC,Công ty Cổ phần Xây dựng Phục Hưng Holdings,Công nghiệp,HOSE
PTC,Công ty Cổ phần Đầu tư ICAPITAL,Công nghiệp,HOSE
SC5,Công ty Cổ phần Xây dựng số 5,Công nghiệp,HOSE
TCR,Công ty Cổ phần Công nghiệp Gốm sứ TAICERA,Công nghiệp,HOSE
TGG,Công ty Cổ phần The Golden Group,Công nghiệp,HOSE
THG,Công ty Cổ phần Đầu tư và Xây dựng Tiền Giang,Công nghiệp,HOSE
TCD,Công ty Cổ phần Đầu tư Phát triển Công nghiệp và Vận tải,Công nghiệp,HOSE
TTB,Công ty Cổ phần Tập đoàn Tiến Bộ,Công nghiệp,HOSE
HUB,Công ty Cổ phần Xây lắp Thừa Thiên Huế,Công nghiệp,HOSE
UIC,Công ty Cổ phần Đầu tư Phát triển Nhà và Đô thị IDICO,Công nghiệp,HOSE
VCG,Tổng Công ty Cổ phần Xuất nhập khẩu và Xây dựng Việt Nam,Công nghiệp,HOSE
VGC,Tổng Công ty Viglacera - Công ty Cổ phần,Công nghiệp,HOSE
VNE,Tổng Công ty Cổ phần Xây dựng điện Việt Nam,Công nghiệp,HOSE
VSI,Công ty Cổ phần Đầu tư và Xây dựng Cấp thoát nước,Công nghiệp,HOSE
CAV,Công ty Cổ phần Dây cáp điện Việt Nam,Công nghiệp,HOSE
GEX,Công ty Cổ phần Tập đoàn Gelex,Công nghiệp,HOSE
PAC,Công ty Cổ phần Pin Ắc quy Miền Nam,Công nghiệp,HOSE
TYA,Công ty Cổ phần Dây và Cáp điện Taya Việt Nam,Công nghiệp,HOSE
VTB,Công ty Cổ phần Viettronics Tân Bình,Công nghiệp,HOSE
ASG,Công ty Cổ phần Tập đoàn ASG,Công nghiệp,HOSE
CLL,Công ty Cổ phần Cảng Cát Lái,Công nghiệp,HOSE
DVP,Công ty Cổ phần Đầu tư và Phát triển Cảng Đình Vũ,Công nghiệp,HOSE
GMD,Công ty Cổ phần Gemadept,Công nghiệp,HOSE
GSP,Công ty Cổ phần Vận tải Sản phẩm Khí Quốc tế,Công nghiệp,HOSE
HAH,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Công nghiệp,HOSE
HTV,Công ty Cổ phần Logistics Vicem,Công nghiệp,HOSE
ILB,Công ty Cổ phần ICD Tân Cảng - Long Bình,Công nghiệp,HOSE
MHC,Công ty Cổ phần MHC,Công nghiệp,HOSE
NCT,Công ty Cổ phần Dịch vụ Hàng hóa Nội Bài,Công nghiệp,HOSE
PDN,Công ty Cổ phần Cảng Đồng Nai,Công nghiệp,HOSE
PJT,Công ty Cổ phần Vận tải Xăng dầu đường thủy Petrolimex,Công nghiệp,HOSE
PVT,Tổng Công ty Cổ phần Vận tải Dầu khí,Công nghiệp,HOSE
PVP,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,Công nghiệp,HOSE
SGN,Công ty Cổ phần Phục vụ mặt đất Sài Gòn,Công nghiệp,HOSE
SFI,Công ty Cổ phần Đại lý Vận tải SAFI,Công nghiệp,HOSE
STG,Công ty Cổ phần Kho Vận Miền Nam,Công nghiệp,HOSE
TCL,Công ty Cổ phần Đại lý Giao nhận Vận tải Xếp dỡ Tân Cảng,Công nghiệp,HOSE
TCO,Công ty Cổ phần Vận tải Đa phương thức Duyên Hải,Công nghiệp,HOSE
TMS,Công ty Cổ phần Transimex,Công nghiệp,HOSE
VIP,Công ty Cổ phần Vận tải Xăng dầu VIPCO,Công nghiệp,HOSE
VNL,Công ty Cổ phần Logistics Vinalink,Công nghiệp,HOSE
VOS,Công ty Cổ phần Vận tải Biển Việt Nam,Công nghiệp,HOSE
VSC,Công ty Cổ phần Container Việt Nam,Công nghiệp,HOSE
VTO,Công ty Cổ phần Vận tải Xăng dầu VITACO,Công nghiệp,HOSE
ABR,Công ty Cổ phần Đầu tư Nhãn Hiệu Việt,Công nghiệp,HOSE
TV2,Công ty Cổ phần Tư vấn Xây dựng Điện 2,Công nghiệp,HOSE
APH,Công ty Cổ phần Tập đoàn An Phát Holdings,Công nghiệp,HOSE
MCP,Công ty Cổ phần In và Bao bì Mỹ Châu,Công nghiệp,HOSE
SVI,Công ty Cổ phần Bao bì Biên Hòa,Công nghiệp,HOSE
TDP,Công ty Cổ phần Thuận Đức,Công nghiệp,HOSE
NO1,Công ty Cổ phần Tâp đoàn 911,Công nghiệp,HOSE
L10,Công ty Cổ phần Lilama 10,Công nghiệp,HOSE
REE,Công ty Cổ phần Cơ điện Lạnh,Công nghiệp,HOSE
SRF,Công ty Cổ phần Searefico,Công nghiệp,HOSE
